Time;Server;Message_type;CPU Usage;Memory Usage;Latency;Transaction_ID;From_Server;Message
67.74854316111895;credit#07826c57-f2bf-4a30-a88a-18257f229504;INFO;0.03;0.003;0.3650658130745555;43490a06-952e-4a8e-b851-5e71dc249872;payment#3056eb1f-4512-4d14-9299-a90134e1a202;Requesting credit#07826c57-f2bf-4a30-a88a-18257f229504 by payment#3056eb1f-4512-4d14-9299-a90134e1a202
67.77042299736107;authentication#1b3eab57-b8a8-42ab-a205-f94ee5cfe069;ERROR;0.69;0.069;6.95675637111853;b412f6d6-4edb-4b09-bc3d-ea5ad652d643;balance#9cacfbb0-8424-4d30-a157-d47f2bc00010;Error due to TIMEOUT
67.80741493137319;balance#9cacfbb0-8424-4d30-a157-d47f2bc00010;ERROR;0.9333333333333333;0.09333333333333334;9.391269383698038;b28b6bda-6c67-4d27-bb30-aad1ffb04c59;client;Error due to TIMEOUT
67.82963436835584;credit#07826c57-f2bf-4a30-a88a-18257f229504;INFO;0.03;0.003;0.3650658130745555;73c27698-9929-479d-9ab1-9ef02964dd81;payment#3056eb1f-4512-4d14-9299-a90134e1a202;Requesting credit#07826c57-f2bf-4a30-a88a-18257f229504 by payment#3056eb1f-4512-4d14-9299-a90134e1a202
67.83473776039608;balance#9cacfbb0-8424-4d30-a157-d47f2bc00010;ERROR;0.92;0.092;9.29924958561469;709c535e-8ffa-4be1-90b8-67ad0785d28e;authentication#1b3eab57-b8a8-42ab-a205-f94ee5cfe069;Error due to TIMEOUT
67.88135181045489;payment#3056eb1f-4512-4d14-9299-a90134e1a202;INFO;0.11;0.011;1.1153646847165803;35752462-8c04-472a-b4eb-22688c702b6a;balance#9cacfbb0-8424-4d30-a157-d47f2bc00010;Requesting payment#3056eb1f-4512-4d14-9299-a90134e1a202 by balance#9cacfbb0-8424-4d30-a157-d47f2bc00010
67.89287935751173;authentication#1b3eab57-b8a8-42ab-a205-f94ee5cfe069;ERROR;0.69;0.069;6.9150284560166275;c4c1631e-7816-42a2-9144-1ee3bcf4e5fb;balance#9cacfbb0-8424-4d30-a157-d47f2bc00010;Error due to TIMEOUT
67.8999854337588;balance#9cacfbb0-8424-4d30-a157-d47f2bc00010;ERROR;0.9266666666666666;0.09266666666666666;9.343487768647979;f163d99f-e39e-4bd0-8078-4ce8491c2c91;client;Error due to TIMEOUT
67.98695120100761;balance#9cacfbb0-8424-4d30-a157-d47f2bc00010;ERROR;0.92;0.092;9.26354984027367;b528c854-0325-4d87-8834-3784a7540691;authentication#1b3eab57-b8a8-42ab-a205-f94ee5cfe069;Error due to TIMEOUT
67.99437104397943;payment#3056eb1f-4512-4d14-9299-a90134e1a202;INFO;0.12;0.012;1.231293511465025;b4dc5d84-5957-4bc7-98ba-b53b8cd5b82b;balance#9cacfbb0-8424-4d30-a157-d47f2bc00010;Requesting payment#3056eb1f-4512-4d14-9299-a90134e1a202 by balance#9cacfbb0-8424-4d30-a157-d47f2bc00010
