Time;Server;Message_type;CPU Usage;Memory Usage;Latency;Transaction_ID;From_Server;Message
86.63269679392893;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;0.9866666666666667;0.128;9.924764429613921;4948223c-9af3-4bc9-94d6-251f6f9b40e6;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;Error due to TIMEOUT
86.64981057208756;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;ERROR;0.97;0.097;9.752382129781822;1c9d2296-7a4f-411a-89e9-f2836b43914f;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
86.6902865104219;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;0.9866666666666667;0.128;9.90431186677;0acffa1d-ff31-480b-8d66-0216a0b99c73;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;Error due to TIMEOUT
86.69227873930365;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;1.0;0.128;10.090633970225083;3cd8705f-02ca-4f3e-86b3-d5f58e569478;client;Error due to TIMEOUT
86.69464886281715;payment#457f06b8-204a-4f13-ac01-e717a628c86b;ERROR;1.0;0.102;10.074004502542353;d7de7ea0-fb5b-4495-bc7d-882012b4ae09;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
86.71757690691607;credit#642d0576-c5c3-4add-b4d9-f72615ca4141;ERROR;0.9;0.09;9.034297871882394;890d725b-9e26-455d-838c-bca20a401aab;payment#457f06b8-204a-4f13-ac01-e717a628c86b;Error due to TIMEOUT
86.73479148295799;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;ERROR;0.97;0.097;9.755984593641381;e04fb087-42dd-4c33-8338-b1f2e96fe365;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
86.75787317769904;payment#457f06b8-204a-4f13-ac01-e717a628c86b;ERROR;1.0;0.101;10.062775447902157;3449276f-28a6-4364-ae04-ebc4bb1b6bcb;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
86.76851327677043;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;0.9866666666666667;0.128;9.891298990997782;cc45e8c6-eba2-4458-97bf-31b221bcf4e9;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;Error due to TIMEOUT
86.80883367229046;credit#642d0576-c5c3-4add-b4d9-f72615ca4141;ERROR;0.9;0.09;9.097138257606225;5a6ca24e-789f-4747-bb5f-86ec26449adc;payment#457f06b8-204a-4f13-ac01-e717a628c86b;Error due to TIMEOUT
86.83245060311512;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;1.0;0.12866666666666668;10.094881540826421;de3eb5d8-e5b5-489a-9969-77e384667bf3;client;Error due to TIMEOUT
86.83649285822423;payment#457f06b8-204a-4f13-ac01-e717a628c86b;ERROR;1.0;0.101;10.07488779722556;88212470-ae3a-4ac8-864c-d6532301276b;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
86.85871990017485;credit#642d0576-c5c3-4add-b4d9-f72615ca4141;ERROR;0.9;0.09;9.04077966268461;81a93a34-d333-4819-9ad8-5742d3e73edd;payment#457f06b8-204a-4f13-ac01-e717a628c86b;Error due to TIMEOUT
86.86535279845216;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;0.9866666666666667;0.12733333333333333;9.889241821156125;7907e4e4-4a98-4df2-b564-c71a2226dbd5;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;Error due to TIMEOUT
86.90527644538787;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;ERROR;0.96;0.096;9.625327875287566;465c5add-da4e-4b73-b176-071212213e04;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
86.91143333942499;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;1.0;0.128;10.05878826492573;1bce489a-953d-4b45-8bb4-b274b5c59fce;client;Error due to TIMEOUT
86.91227082325315;payment#457f06b8-204a-4f13-ac01-e717a628c86b;ERROR;1.0;0.101;10.08615664409146;f6430605-f139-400d-b048-5be7092f4c23;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
86.93021524022558;credit#642d0576-c5c3-4add-b4d9-f72615ca4141;ERROR;0.9;0.09;9.06965850877653;179f9a5a-72e5-43dc-b66e-323f6fded1b7;payment#457f06b8-204a-4f13-ac01-e717a628c86b;Error due to TIMEOUT
86.99473408414316;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;ERROR;0.97;0.097;9.746695801028203;c4c0e9ad-d137-4c14-b2f9-baab43d74072;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
86.99482350595731;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;0.9866666666666667;0.128;9.905488090425377;91f4e0fb-8c00-42f4-ac2d-9e84aef44d4d;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;Error due to TIMEOUT
87.01470817287819;credit#642d0576-c5c3-4add-b4d9-f72615ca4141;ERROR;0.89;0.089;8.99183647404963;23f604d7-32a9-490a-8316-5735b3584c23;payment#457f06b8-204a-4f13-ac01-e717a628c86b;Error due to TIMEOUT
87.02057238336727;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;1.0;0.12866666666666668;10.079663975136476;7cba2405-806c-44a4-ac38-d67316eea559;client;Error due to TIMEOUT
87.05111496424139;payment#457f06b8-204a-4f13-ac01-e717a628c86b;ERROR;1.0;0.1;10.049128192686421;d57cb479-b6e1-4583-a9d2-f4f545e5ea63;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
87.06616294989647;balance#09776368-b978-43f6-a0df-3f6f7b565223;ERROR;0.9866666666666667;0.12733333333333333;9.93814125330963;ed25b958-24ad-4143-ad51-163fc549fb0e;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;Error due to TIMEOUT
87.11617023607792;authentication#3b607c24-0e63-4752-8892-a1cf9fee63af;ERROR;0.96;0.096;9.621154268317039;9edae9fe-9170-4a33-8e5b-b6b93b3643bb;balance#09776368-b978-43f6-a0df-3f6f7b565223;Error due to TIMEOUT
